"","PlayerID","Age","Gender","PlayTimeHours","InGamePurchases","GameDifficulty","SessionsPerWeek","AvgSessionDurationMinutes","PlayerLevel","AchievementsUnlocked","EngagementLevel","Location_USA","Location_Europe","Location_Asia","Location_Other","Genre_Strategy","Genre_Sports","Genre_Action","Genre_RPG","Genre_Simulation"
"1",38998,40,1,17.56258772,1,1,15,175,55,17,2,0,1,0,0,0,1,0,0,0
"2",38999,36,0,23.13946332,0,1,8,75,46,16,1,0,1,0,0,0,0,1,0,0
"3",39000,49,1,11.66543492,0,0,6,128,19,27,1,0,1,0,0,0,0,0,1,0
"4",39001,25,1,22.15849384,1,1,19,81,82,43,2,0,0,0,1,1,0,0,0,0
"5",39002,41,0,15.91072204,1,0,6,168,4,24,1,0,1,0,0,0,0,0,1,0
"6",39003,48,1,13.62914193,0,0,0,139,59,40,0,1,0,0,0,0,0,0,1,0
"7",39004,32,1,1.838965299,0,0,19,144,60,31,2,1,0,0,0,0,1,0,0,0
"8",39005,41,1,4.784567806,0,0,5,103,70,1,1,0,1,0,0,0,1,0,0,0
"9",39006,18,0,16.71642193,1,2,0,12,80,8,0,0,1,0,0,0,0,0,1,0
"10",39007,31,1,18.95389733,0,2,7,85,64,32,1,0,1,0,0,0,0,0,1,0
"11",39008,20,1,12.89943754,0,0,1,179,33,5,0,0,1,0,0,0,0,0,1,0
"12",39009,25,0,8.906821347,1,1,19,151,60,45,2,1,0,0,0,0,0,0,0,1
"13",39010,19,1,22.13610502,0,0,11,42,20,43,1,0,0,0,1,0,1,0,0,0
"14",39011,32,1,23.0006813,0,0,6,166,24,1,1,0,1,0,0,1,0,0,0,0
"15",39012,39,1,2.499810547,1,0,15,56,56,14,1,1,0,0,0,1,0,0,0,0
"16",39013,24,1,17.41293515,0,0,2,88,16,1,0,1,0,0,0,1,0,0,0,0
"17",39014,30,0,19.23171989,0,1,19,145,39,11,2,0,1,0,0,1,0,0,0,0
"18",39015,24,1,6.019829064,0,1,0,120,52,37,0,0,0,1,0,1,0,0,0,0
"19",39016,24,1,11.42357357,1,0,19,74,10,21,1,1,0,0,0,1,0,0,0,0
"20",39017,35,1,18.64075126,0,1,13,70,25,47,1,0,1,0,0,0,0,0,0,1
"21",39018,28,1,21.25104665,1,2,15,25,54,19,1,0,0,0,1,0,0,1,0,0
"22",39019,22,0,22.35661495,0,1,15,18,37,43,1,0,1,0,0,1,0,0,0,0
"23",39020,15,0,1.062646009,0,0,7,15,87,21,0,0,0,1,0,0,0,0,0,1
"24",39021,30,0,1.310379768,1,0,9,166,27,48,2,1,0,0,0,0,0,0,0,1
"25",39022,40,1,3.866360386,0,2,7,87,48,48,1,0,1,0,0,0,0,0,0,1
"26",39023,20,1,7.742230138,0,0,3,89,57,39,1,1,0,0,0,1,0,0,0,0
"27",39024,16,1,11.55727136,0,0,2,47,81,26,0,1,0,0,0,0,1,0,0,0
"28",39025,23,0,5.43965193,0,0,4,151,82,8,1,0,1,0,0,0,0,1,0,0
"29",39026,19,1,17.74830651,0,0,8,14,6,39,0,1,0,0,0,0,0,1,0,0
"30",39027,19,0,20.06947644,0,1,19,19,97,3,1,0,1,0,0,0,0,1,0,0
"31",39028,22,1,16.1456085,0,1,1,121,38,0,0,0,1,0,0,1,0,0,0,0
"32",39029,19,1,4.179229806,0,0,14,132,20,14,2,0,1,0,0,1,0,0,0,0
"33",39030,19,0,4.861027464,0,0,13,170,97,0,2,1,0,0,0,0,0,0,1,0
"34",39031,31,1,10.94944024,0,0,7,117,19,27,1,0,1,0,0,0,0,0,0,1
"35",39032,23,1,12.48236952,0,1,5,77,35,25,1,0,0,0,1,1,0,0,0,0
"36",39033,48,1,7.229075593,1,1,1,156,54,36,0,1,0,0,0,0,0,1,0,0
"37",39034,47,1,10.05974552,0,1,5,158,26,47,1,1,0,0,0,0,0,1,0,0
"38",39035,36,0,13.7040425,0,2,8,141,97,23,1,0,0,1,0,1,0,0,0,0
"39",39036,35,0,8.90789186,1,2,9,45,55,45,1,0,1,0,0,1,0,0,0,0
"40",39037,29,0,23.17363573,0,0,11,112,32,42,1,1,0,0,0,0,1,0,0,0
"41",39038,15,1,22.46806482,0,1,14,76,99,43,1,0,1,0,0,0,0,0,1,0
"42",39039,21,0,8.534861064,0,0,2,33,50,40,0,0,0,1,0,1,0,0,0,0
"43",39040,37,1,18.28814945,0,1,18,90,70,38,0,0,1,0,0,1,0,0,0,0
"44",39041,20,1,5.597773368,0,1,11,57,30,15,1,0,0,1,0,0,0,0,1,0
"45",39042,34,1,17.8644544,0,0,0,117,60,8,0,1,0,0,0,0,0,0,1,0
"46",39043,40,1,17.31614347,0,0,10,113,23,30,1,1,0,0,0,0,0,1,0,0
"47",39044,26,0,5.212687089,0,1,3,100,8,23,0,0,1,0,0,0,0,0,0,1
"48",39045,27,1,17.99639162,1,1,4,59,64,40,1,1,0,0,0,1,0,0,0,0
