"","PlayerID","Age","Gender","PlayTimeHours","InGamePurchases","GameDifficulty","SessionsPerWeek","AvgSessionDurationMinutes","PlayerLevel","AchievementsUnlocked","EngagementLevel","Location_USA","Location_Europe","Location_Asia","Location_Other","Genre_Strategy","Genre_Sports","Genre_Action","Genre_RPG","Genre_Simulation"
"1",23999,32,0,15.46432095,0,0,6,15,96,3,0,1,0,0,0,1,0,0,0,0
"2",24000,27,1,11.95956766,0,1,10,113,26,38,1,0,1,0,0,0,1,0,0,0
"3",24001,19,0,10.66541791,1,0,12,118,88,41,2,1,0,0,0,0,0,1,0,0
"4",24002,37,0,1.81409772,0,0,14,157,89,4,2,0,0,1,0,0,0,1,0,0
"5",24003,38,0,9.171293859,0,0,4,132,86,36,1,0,1,0,0,0,1,0,0,0
"6",24004,43,1,11.16957259,0,0,12,83,21,41,1,1,0,0,0,0,1,0,0,0
"7",24005,22,1,7.257519838,0,0,11,61,97,29,1,0,1,0,0,0,0,0,1,0
"8",24006,40,1,18.69096806,0,0,6,59,39,44,1,0,0,1,0,1,0,0,0,0
"9",24007,29,1,4.930743318,0,0,14,61,96,39,1,0,0,1,0,0,1,0,0,0
"10",24008,15,1,8.980099166,0,1,4,124,57,27,1,1,0,0,0,0,1,0,0,0
"11",24009,42,0,12.35477869,0,0,8,140,83,18,1,1,0,0,0,0,1,0,0,0
"12",24010,28,1,12.86029729,0,0,15,140,24,43,1,0,0,1,0,1,0,0,0,0
"13",24011,48,1,3.655804571,0,0,7,165,6,29,1,1,0,0,0,0,1,0,0,0
"14",24012,45,1,1.647671599,0,0,7,15,85,47,1,0,1,0,0,1,0,0,0,0
"15",24013,20,1,21.06835111,1,0,13,99,68,8,1,0,1,0,0,1,0,0,0,0
"16",24014,19,1,2.973590734,1,0,8,60,12,7,1,0,1,0,0,0,0,0,0,1
"17",24015,45,1,15.49249009,0,0,5,69,15,43,1,1,0,0,0,0,0,0,1,0
"18",24016,29,0,17.21469488,0,0,6,24,92,9,0,1,0,0,0,0,0,0,1,0
"19",24017,29,0,18.95125558,0,0,0,169,16,41,0,0,1,0,0,0,0,0,1,0
"20",24018,19,1,2.239254409,1,1,15,103,45,35,2,0,1,0,0,0,1,0,0,0
"21",24019,42,1,7.166375191,1,0,9,49,85,25,1,0,1,0,0,0,0,0,1,0
"22",24020,47,1,4.725387326,1,0,11,29,17,31,1,1,0,0,0,0,0,0,0,1
"23",24021,25,1,1.147000766,0,2,19,95,37,4,2,0,0,1,0,1,0,0,0,0
"24",24022,20,1,14.98334855,0,2,8,129,50,38,1,1,0,0,0,0,1,0,0,0
"25",24023,37,0,3.6120592,1,2,15,51,90,43,1,1,0,0,0,0,1,0,0,0
"26",24024,16,1,4.525307861,0,0,9,78,60,25,1,0,0,1,0,0,0,0,0,1
"27",24025,29,1,10.35644938,0,0,2,167,57,4,1,0,1,0,0,1,0,0,0,0
"28",24026,37,1,2.827681411,0,1,14,148,3,37,2,1,0,0,0,0,0,0,1,0
"29",24027,36,1,15.11548288,0,1,7,54,31,45,1,1,0,0,0,1,0,0,0,0
"30",24028,23,1,18.72080737,0,0,16,27,32,1,1,0,1,0,0,1,0,0,0,0
"31",24029,44,1,14.55908793,0,0,8,77,44,30,1,1,0,0,0,0,0,1,0,0
"32",24030,30,1,10.1452149,0,0,10,67,66,15,1,1,0,0,0,0,0,0,1,0
"33",24031,44,0,19.93687309,1,0,10,138,61,48,2,0,0,0,1,0,1,0,0,0
"34",24032,23,0,19.49614797,0,2,16,97,32,32,2,1,0,0,0,0,0,0,0,1
"35",24033,15,0,21.83122787,0,0,3,67,47,40,0,1,0,0,0,1,0,0,0,0
"36",24034,22,1,21.72647629,0,1,16,84,2,10,1,1,0,0,0,0,0,1,0,0
"37",24035,32,1,19.42291113,0,0,7,98,49,24,1,0,0,0,1,0,1,0,0,0
"38",24036,41,0,13.56399428,0,2,5,161,38,24,1,0,0,0,1,0,0,0,0,1
"39",24037,32,1,0.378512249,0,1,0,89,99,30,0,1,0,0,0,0,0,0,1,0
"40",24038,46,1,17.41985391,0,2,15,56,21,8,1,0,0,1,0,0,1,0,0,0
"41",24039,46,0,11.58581298,0,0,5,26,43,34,0,1,0,0,0,0,0,0,1,0
"42",24040,35,1,2.054485646,0,2,15,103,95,31,1,1,0,0,0,0,0,0,1,0
"43",24041,46,1,17.50951987,0,0,2,135,46,41,1,0,1,0,0,0,0,1,0,0
"44",24042,45,1,9.840667336,0,2,19,26,50,14,1,0,1,0,0,1,0,0,0,0
"45",24043,30,0,8.645867571,0,0,8,136,98,39,1,1,0,0,0,0,0,0,1,0
"46",24044,28,0,19.39057745,0,1,17,133,39,23,2,0,0,1,0,0,0,1,0,0
"47",24045,38,0,7.015868282,0,0,6,109,76,30,1,0,1,0,0,0,0,1,0,0
"48",24046,39,1,6.466055228,1,2,12,148,81,37,2,0,0,0,1,0,0,0,0,1
"49",24047,49,0,5.686687158,0,2,5,28,51,18,0,1,0,0,0,0,0,1,0,0
"50",24048,31,0,6.065777827,0,0,6,176,16,38,1,0,1,0,0,0,1,0,0,0
"51",24049,18,0,13.51627043,1,1,1,40,48,32,0,1,0,0,0,0,0,0,1,0
"52",24050,25,1,19.48450772,0,0,14,59,63,4,1,1,0,0,0,0,0,1,0,0
"53",24051,29,0,23.04437335,0,0,8,114,37,43,1,1,0,0,0,0,0,0,1,0
"54",24052,44,0,0.20167798,0,2,1,52,54,32,0,0,0,1,0,0,0,0,1,0
"55",24053,38,0,5.377090045,0,0,7,118,73,3,1,1,0,0,0,1,0,0,0,0
"56",24054,16,0,11.17987289,0,0,7,73,30,19,2,0,1,0,0,0,1,0,0,0
"57",24055,48,0,23.73098338,0,0,16,91,3,6,2,0,0,0,1,0,0,1,0,0
"58",24056,37,0,20.73749154,1,0,8,58,41,40,1,1,0,0,0,0,0,0,1,0
"59",24057,45,1,7.607348743,0,0,19,89,74,2,2,0,1,0,0,0,1,0,0,0
"60",24058,27,1,8.183140649,0,0,17,30,61,8,1,0,1,0,0,1,0,0,0,0
"61",24059,47,1,0.65108146,0,0,14,114,13,48,0,0,0,0,1,0,0,0,0,1
"62",24060,21,1,17.46543014,0,0,11,174,4,26,2,0,0,1,0,1,0,0,0,0
"63",24061,46,0,18.45463874,0,0,8,120,66,13,0,1,0,0,0,0,0,1,0,0
"64",24062,21,1,5.62436069,1,1,8,105,92,22,0,1,0,0,0,0,0,1,0,0
"65",24063,27,1,19.79935835,0,0,7,167,49,24,1,1,0,0,0,0,0,0,1,0
"66",24064,38,1,12.3154341,0,0,14,179,25,37,2,1,0,0,0,0,1,0,0,0
